Task,Domain,Prompt
Question Generation,Name,"Given the following document, please generate a question and answer based on the document.
    
The question MUST contain all information and context necessary to answer without the document.
    
In your output, include the phrase from the document that contains the answer to the question as 'context'.
This phrase MUST be copied verbatim, word for word, from the document. 
You must produce the context phrase exactly from the text, with no modifications or truncations.
This phrase should be short (one sentence).

You must obey the following criteria:
- The question MUST ask for the name of a human person. 
Do not produce a question that is not directly related to a person's name. 
Do not produce questions that ask for names of organizations, teams, games, or entities.
- The question MUST be detailed and be based explicitly on information in the document.
- The context sentence the question is based on MUST include the name of the person. 
For example, an unacceptable context is ""He won a bronze medal in the 4 × 100 m relay"". 
An acceptable context is ""Nils Sandström was a Swedish sprinter who competed at the 1920 Summer Olympics.""
- The name in the answer should only be mentioned sparingly (ideally once) in the article. 
Do not ask a question about an individual if that individual is mentioned multiple times or
if the individual is the main topic of the article.
- The name in the answer should not be the name of an organization. 
Rather it should be the name of a human person.
- The answer should include a first AND last name. Single-word names should return 'None'.

If there are no possible questions that meet these criteria, return 'None' as the question.
Remember, only produce one question.

Output the question in JSON format.
Begin!

Example Input Format:
<Begin Document>
...
<End Document>

Example Response:
{Question: 'Who was the commanding general of the Union Army during the American Civil War?',
Answer: 'Ulysses S. Grant',
Context: 'As commanding general, Ulysses S. Grant led the Union Army to victory in the American Civil War in 1865."
,Location,"Given the following document, please generate a question and answer based on the document.
                                    
The question MUST contain all information and context necessary to answer without the document.

In your output, include the phrase from the document that contains the answer to the question as 'context'.
This phrase MUST be copied verbatim, word for word, from the document. 
You must produce the context phrase exactly from the text, with no modifications or truncations.
This phrase should be short (one sentence).

You must obey the following criteria:
- The question MUST ask for the name of a city. 
Do not produce a question that is not directly related to a city. 
Do not produce questions that ask for names of states, countries, counties, etc.
- The question MUST be detailed and be based explicitly on information in the document.
- The context sentence the question is based on MUST include the exact name of the city. 
For example, an unacceptable context is ""The city had a population of 57,503 in 2021"". 
An acceptable context is ""Lancaster had a population of 57,503 in 2021.""
- The answer should include just the name of the city (eg. Lancaster, not Lancaster, PA).
- Do not ask questions that could have multiple answers. 
For example, do not ask ""Which city had a population of 57,503 in 2021?"" because multiple cities could potentially have this population.
Instead, ask a question that test knowledge of unique traits about a city, such as the city motto, founder, famous buildings, historical facts, etc.
If there are no possible questions that meet these criteria, return 'None' as the question.
Remember, only produce one question.

Output the question in JSON format.
Begin!

Example Input Format:
<Begin Document>
...
<End Document>

Example Response:
{Question: 'Which city was founded in 1682 by William Penn, an English Quaker and advocate of religious freedom?',
Answer: 'Philadelphia',
Context: 'Philadelphia was founded in 1682 by William Penn, an English Quaker and advocate of religious freedom.'"
,Date,"Given the following document, please generate a question and answer based on the document.
                    
The question MUST contain all information and context necessary to answer without the document.

In your output, include the phrase from the document that contains the answer to the question as 'context'.
This phrase MUST be copied verbatim, word for word, from the document. 
You must produce the context phrase exactly from the text, with no modifications or truncations.
This phrase should be short (one sentence).

You must obey the following criteria:
- The question MUST ask the year of the occurrence of an event (such as a birthday, war, founding, etc.). 
Do not produce a question that does not ask for the year.
- The year MUST adhere to YYYY format.
- The question MUST be detailed and be based explicitly on information in the document.
- The answer should only be mentioned sparingly (ideally once) in the article. 
Do not ask a question if the answer appears multiple times in the article.
- Only include questions if their answer is a specific year past 1200 AD (e.g., do not include dates like 90 CE or 250 BCE). 
Do not include questions that have an answer in the form of an era (e.g., 1970s, 1500s) or range of years (e.g., 1520-1570).

If there are no possible questions that meet these criteria, return 'None' as the question.
Remember, only produce one question.

Output the question in JSON format.
Begin!

Example Input Format:
<Begin Document>
...
<End Document>

Example Response:
{Question: 'Which year did John Brown's raid on Harpers Ferry occur?',
Answer: '1859',
Context: 'John Brown's raid on Harpers Ferry was an effort by abolitionist John Brown, from October 16 to 18, 1859, to initiate a slave revolt in Southern states by taking over the United States arsenal at Harpers Ferry, Virginia (since 1863, West Virginia)."
,Drug Dosage,"You are a pharmaceutical expert coming up with a question to ask on a quiz.
Given the following document, please generate a question and answer based on the document.

The question MUST contain all information and context necessary to answer without the document.

In your output, include the phrase from the document that contains the answer to the question as 'context'.
This phrase MUST be copied verbatim, word for word, from the document. You must produce the context phrase exactly from the text, with no modifications or truncations.

You must obey the following criteria:
- The question MUST be only about the dosage of the drug. Do not produce a question that is not directly related to how much dosage of a drug to give to patients.
- Only include a question if it has answers in units of mg, and exclude the question if it is in other units (e.g. grams) or percentages of dosages.
- The question MUST also specify the frequency of the dosage (e.g. daily, weekly, etc.) if the document specifies it.
- Pay close attention to the frequency of the dosage. For example, if a document states ""10 mg twice daily"", then the answer to the question ""what is the daily dosage?"" should be 20 mg.
- If the context for the answer specifies a dosage range (e.g. 10-15 mg), then clarify in the question which number is being referred to (e.g. lower limit, upper limit).
- The answer to this question MUST be clear and unambiguous, and MUST be a single integer number less than 10000.
- These question MUST be detailed and be based explicitly on information in the document.

If there are no possible questions that meet these criteria, return 'None' as the question.
Remember, only produce one question.

Output the question in JSON format.
Begin!

Example Input Format:
<Begin Document>
...
<End Document>

Example Response:
{Question: 'What is the top dosage in mg?',
Answer: '100',
Context: 'The top dosage is 100 mg.'}"
,News,"You are a journalist coming up with a question to ask on a quiz.
Given the following news article, please generate a question and answer based on the article.

In your output, include the phrase from the article that contains the answer to the question as 'context'.
This phrase MUST be copied verbatim, word for word, from the article. You must produce the context phrase exactly from the text, with no modifications or truncations.

You must obey the following criteria:
- The question MUST contain all information and context necessary to answer without the article. Do not reference the article in the question.
- You MUST include in the question the date (i.e. month, day, year) that the event referenced in the question occurred. Be as specific as possible. Do NOT reference days of the week (i.e. Wednesday)
- The question MUST ask about a fact that is newly and uniquely introduced in the article, not about something that can be generally known outside the information in the article.
- You MUST specify the units of the answer in the question. For example, ""in millions of US dollars"" or ""in kilograms"".
- Do NOT ask about dates (e.g. ""What date did this happen?"") or other non-numerical information.
- The answer to this question MUST be clear and unambiguous.
- The answer MUST be numerical. Do not include any characters that are non-numerical.

If there are no possible questions that meet ALL of these criteria, return 'None' as the question.
Remember, only produce one question. Remember, explicitly specify the units of the answer in the question.

Output the question in JSON format.
Begin!

Example Input Format:
<Begin Article>
...
<End Article>

Example Response:
{""Question"": ""How much did the 2024 repairs on the Golden Gate Bridge cost in millions of US dollars?""
""Answer"": ""150"",
""Context"": ""The 2024 repairs on the Golden Gate bridge cost taxpayers $150 million.""}
"""""",
    'user' : """"""
<Begin Article>
{document}
<End Article>"
Response w/ RAG,Name,"Your job is to answer questions related to the names of individuals.
Use the following pieces of retrieved context to answer the question.

Your output should JUST be a name and nothing else."
,Location,"Your job is to answer questions related to the names of cities.
Use the following pieces of retrieved context to answer the question.

Your output should JUST be a city name and nothing else. Do not add the state or the country. 
(for example, Los Angeles, not Los Angeles, CA)."
,Date,"Your job is to answer questions related to the year of occurrence for events.
Use the following pieces of retrieved context to answer the question.

Your output should JUST be the year of the event in the format YYYY (eg. 1975, 1512) and nothing else."
,Drug Dosage,"You are a pharmaceutical expert answering a drug dosing question.
Use the following pieces of retrieved context to answer the question.

Your output should JUST be a number and nothing else.
Your answer MUST be in units of mg. DO NOT include units in your answer.
You MUST respond with a numerical answer and do not refuse to respond."
,News,"You are a news expert answering a question about the recent news.
Use the following pieces of retrieved context to answer the question.

Your output should JUST be a number and nothing else.
If the question does not contain enough information to answer, respond with 'None'."
